#  aims_uuid : C92D13E2-6412-42EF-AFCB-BD0B4162B67E                                
#  angular momentum projected density of states for species Pb as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.403352 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       24.90216449        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       25.40222700        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       25.90228951        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       26.40235202        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       26.90241452        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       27.40247703        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       27.90253954        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       28.40260205        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       28.90266456        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       29.40272706        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       29.90278957        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       30.40285208        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       30.90291459        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       31.40297709        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       31.90303960        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       32.40310211        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       32.90316462        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       33.40322713        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       33.90328963        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       34.40335214        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
